Option Name	score	Duration (mins)	100	Rent	100	Size (SqFt)	100	Dog Policy	90	Features	80	Services	70	Kitchen	60	Lease Info	50	Distance	0	Contact	1	Address	2	One Time Fees	0	Images	0	modifier
[533 E 81st St Unit 5B](https://www.apartments.com/533-e-81st-st-new-york-ny-unit-5b/mrmc9bl/)	93.1	34	73	"$2,195 "	96	600	90	?	5		5	* Laundry Facilities	5	* dishwasher	10	12 Months	5	1.7 mi	0	612-405-5026	0	"[533 E 81st St, New York, NY 10028](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/533+E+81st+St,+New+York,+NY+10028/data=!4m2!4m1!3e2)"	0		0	![Primary Photo - 533 E 81st St](https://images1.apartments.com/i2/LDlwEyvxgIC2_zsmBAfr4Z_Oth2fD0jVjvobDbnU710/110/533-e-81st-st-unit-5b-new-york-ny-primary-photo.jpg) ![Building Photo - 533 E 81st St](https://images1.apartments.com/i2/DSYzbqznXsNnFov1vKb2Y3WBw473FLO_K7c-UII8rFY/118/533-e-81st-st-unit-5b-new-york-ny-building-photo.jpg) ![Building Photo - 533 E 81st St](https://images1.apartments.com/i2/C5Zs7B5aSARdQlcy8B0lFgkEnSfRuDMkkTcPK60rn7w/118/533-e-81st-st-unit-5b-new-york-ny-building-photo.jpg) ![Building Photo - 533 E 81st St](https://images1.apartments.com/i2/yhcDJI30PYmCKt54lr20FAHKWt-jUc9Kx6SpAoqiAT8/118/533-e-81st-st-unit-5b-new-york-ny-building-photo.jpg) ![Building Photo - 533 E 81st St](https://images1.apartments.com/i2/Vm_i4pYOJ5ntgorDuMSovsez8X5ahJ3sIDAUzIEkcRM/118/533-e-81st-st-unit-5b-new-york-ny-building-photo.jpg) 	0	0
[36 W 75th St Unit 4B](https://www.apartments.com/36-w-75th-st-new-york-ny-unit-4b/ydebpdr/)	93.1	31	76	"$2,250 "	96	580	90	?	5		5	* Laundry Facilities	5		5	12 Months	5	1.5 mi	0	844-830-3297	0	"[36 W 75th St, New York, NY 10023](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/36+W+75th+St,+New+York,+NY+10023/data=!4m2!4m1!3e2)"	0		0	![Primary Photo - 36 W 75th St](https://images1.apartments.com/i2/doUZm-Z8H9JETBKfj3DlInswOo0n_CzJ1uJ3WmM546w/110/36-w-75th-st-unit-4b-new-york-ny-primary-photo.jpg) ![Building Photo - 36 W 75th St](https://images1.apartments.com/i2/GsAXlxWFEsTO4-Y9tKYE3vjpHgSxHJU1YGbnDMeTDg0/118/36-w-75th-st-unit-4b-new-york-ny-building-photo.jpg) ![Building Photo - 36 W 75th St](https://images1.apartments.com/i2/VVV72B8MXol8xDyXODpncHS5tSN27JBcaPY77hzpE6o/118/36-w-75th-st-unit-4b-new-york-ny-building-photo.jpg) ![Building Photo - 36 W 75th St](https://images1.apartments.com/i2/Xv88WTfMCmn1f0DzHA8RTTFN4Fo8HfXv0I6LcWZx1vI/118/36-w-75th-st-unit-4b-new-york-ny-building-photo.jpg) ![Building Photo - 36 W 75th St](https://images1.apartments.com/i2/oOU1lRB2v-3HLvRwSUncHHcWkbu8wqwopobF7Nym5bU/118/36-w-75th-st-unit-4b-new-york-ny-building-photo.jpg) ![Building Photo - 36 W 75th St](https://images1.apartments.com/i2/CGFEeUtOqGhqP7joyknyVcAjlZdvbQlsQ6iUf4TmL-8/118/36-w-75th-st-unit-4b-new-york-ny-building-photo.jpg) 	0	0
[265 E 78th St](https://www.apartments.com/265-e-78th-st-new-york-ny/th3b2s8/)	92.4	23	84	"$2,250 "	96	500	80	?	5		5	* Laundry Facilities	5		5	12 Months	5	1.1 mi	0	844-256-1122	0	"[265 E 78th St, New York, NY 10075](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/265+E+78th+St,+New+York,+NY+10075/data=!4m2!4m1!3e2)"	0		0	![Primary Photo - 265 E 78th St](https://images1.apartments.com/i2/nFv3aFkB47qAkNB8fOQxpiyTqg7kr0OE1rREekPFEJQ/110/265-e-78th-st-new-york-ny-primary-photo.jpg) ![Building Photo - 265 E 78th St](https://images1.apartments.com/i2/v07M-sgBCmietoBkBGOhBlMRYfMRzfWgzXxJoW0X9YM/118/265-e-78th-st-new-york-ny-building-photo.jpg) ![Building Photo - 265 E 78th St](https://images1.apartments.com/i2/rcdEwQX2jZ-EFndAwxaGerVXGVvpKajlsX2rLNVqzo0/118/265-e-78th-st-new-york-ny-building-photo.jpg) 	0	0
[524 E 79th St](https://www.apartments.com/524-e-79th-st-new-york-ny/jqhd727/)	92	32	75	"$1,825 "	99	550	85	?	5		5	* Laundry Facilities	5		5	12 Months	5	1.6 mi	0	844-430-4710	0	"[524 E 79th St, New York, NY 10075](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/524+E+79th+St,+New+York,+NY+10075/data=!4m2!4m1!3e2)"	0		0	![Primary Photo - 524 E 79th St](https://images1.apartments.com/i2/Ta4GnEIXH1CVeOLardCYXzW0td9pk0n-lPZyeeVMIVE/110/524-e-79th-st-new-york-ny-primary-photo.jpg) ![Building Photo - 524 E 79th St](https://images1.apartments.com/i2/UvWMm-I-irB8gQb2w829F98uR8_FQgxzFZxb99yZHms/118/524-e-79th-st-new-york-ny-building-photo.jpg) ![Building Photo - 524 E 79th St](https://images1.apartments.com/i2/Y_4yVMcwGx-gRa1bkiKyYzUU3mlMRwMtlK9yqu8CHQo/118/524-e-79th-st-new-york-ny-building-photo.jpg) ![Building Photo - 524 E 79th St](https://images1.apartments.com/i2/lvrkVM9log-q3vxzdVnxrIt2OvApOA6sohHoWoz1hcQ/118/524-e-79th-st-new-york-ny-building-photo.jpg) 	0	0
[240 E 38th St](https://www.apartments.com/240-e-38th-st-new-york-ny/0mtj3k0/)	90.7	25	82	"$2,400 "	93	525	80	?	5		5	* Laundry Facilities	5		5	12 Months	5	1.3 mi	0	844-238-1385	0	"[240 E 38th St, New York, NY 10016](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/240+E+38th+St,+New+York,+NY+10016/data=!4m2!4m1!3e2)"	0		0	![living room - 240 E 38th St](https://images1.apartments.com/i2/F2DhoxVR901Rrhii2qFXobjbhT7cCriL-kzSpnZevKA/110/240-e-38th-st-new-york-ny-living-room.jpg) ![bedroom - 240 E 38th St](https://images1.apartments.com/i2/iqST-1uhPv4b2qJqVjorlxRH3p8vmK9y7Fj6ChGbjqw/118/240-e-38th-st-new-york-ny-bedroom.jpg) ![Building Photo - 240 E 38th St](https://images1.apartments.com/i2/5NW8Kv1T0HiMooXvLQvTMeIddje9P37bCU5I6ECVLCo/118/240-e-38th-st-new-york-ny-building-photo.jpg) 	0	0
[529 E 81st St Unit 3A](https://www.apartments.com/529-e-81st-st-new-york-ny-unit-3a/q0wxr6w/)	90.4	34	73	"$2,195 "	96	550	85	?	5		5	* Laundry Facilities	5		5	12 Months	5	1.7 mi	0		0	"[529 E 81st St, New York, NY 10028](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/529+E+81st+St,+New+York,+NY+10028/data=!4m2!4m1!3e2)"	0		0	![Primary Photo - 529 E 81st St](https://images1.apartments.com/i2/vtkyYdhgmpVMGxP-A1lYBF34hb6TkaQTHdyV39tVQq8/110/529-e-81st-st-unit-3a-new-york-ny-primary-photo.jpg) ![Building Photo - 529 E 81st St](https://images1.apartments.com/i2/40zaSDX0gyVpboZnAP9p3E3bB5Eq-DgAUQq2GmCo1-0/118/529-e-81st-st-unit-3a-new-york-ny-building-photo.jpg) ![Building Photo - 529 E 81st St](https://images1.apartments.com/i2/jJ1w6rvAW4UDQsT8WMbw4j2npZzHUfU9RoCyqTLh4LA/118/529-e-81st-st-unit-3a-new-york-ny-building-photo.jpg) ![Building Photo - 529 E 81st St](https://images1.apartments.com/i2/zv4sX_gKy-KSXhzRpuECuxQUMj-tuBcFMNZmpL_AP3k/118/529-e-81st-st-unit-3a-new-york-ny-building-photo.jpg) 	0	0
[531 E 81st St Unit 2A](https://www.apartments.com/531-e-81st-st-new-york-ny-unit-2a/89s5sl0/)	90.4	34	73	"$2,195 "	96	550	85	?	5		5	* Laundry Facilities	5		5	12 Months	5	1.7 mi	0		0	"[531 E 81st St, New York, NY 10028](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/531+E+81st+St,+New+York,+NY+10028/data=!4m2!4m1!3e2)"	0		0	![Primary Photo - 531 E 81st St](https://images1.apartments.com/i2/lztjrj2n1xNTIof3sPa_sndYC0yqZdVPkWeKjbNz2Vk/110/531-e-81st-st-unit-2a-new-york-ny-primary-photo.jpg) ![Building Photo - 531 E 81st St](https://images1.apartments.com/i2/hwzwKhzbnih45X2JTCnjXlK3Eao5Y1Bjfq3JNtcqukw/118/531-e-81st-st-unit-2a-new-york-ny-building-photo.jpg) ![Building Photo - 531 E 81st St](https://images1.apartments.com/i2/bNM-AkEymoTl_c9GmAbPuACMjalBWD2jIHJgCMKTZWU/118/531-e-81st-st-unit-2a-new-york-ny-building-photo.jpg) ![Building Photo - 531 E 81st St](https://images1.apartments.com/i2/raGBkKAhEA7jw7hOFzJalEe0mayEtWzhvkGXTngs1zg/118/531-e-81st-st-unit-2a-new-york-ny-building-photo.jpg) ![Building Photo - 531 E 81st St](https://images1.apartments.com/i2/fZpvjhmG_039QiRDf84DHPCJgrX9M8ysAljKwHC5f68/118/531-e-81st-st-unit-2a-new-york-ny-building-photo.jpg) 	0	0
[342 W 56th St Unit 2](https://www.apartments.com/342-w-56th-st-new-york-ny-unit-2/qyw8x2w/)	89.7	22	85	"$2,100 "	97	400	70	?	5	* Smoke Free	5	* Laundry Facilities	5		5	12 Month	5	1.1 mi	0	718-619-4897	0	"[342 W 56th St, New York, NY 10019](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/342+W+56th+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)"	0		0	![Primary Photo - 342 W 56th St](https://images1.apartments.com/i2/h0DTATifRiztCxF38IeGpufrrboRrwWVPfkG26PccOw/110/342-w-56th-st-unit-2-new-york-ny-primary-photo.jpg) ![Columbus Circle Area - 342 W 56th St](https://images1.apartments.com/i2/55Zj9V7wKGHCaQAOIjDbdL5UWmNrJlq05q1XJl0IZ0c/118/342-w-56th-st-unit-2-new-york-ny-columbus-circle-area.jpg) ![Building Photo - 342 W 56th St](https://images1.apartments.com/i2/s7KRI46VNX-mRJZfnoOITFqfOpMq0zhvAkSVsslz_vo/118/342-w-56th-st-unit-2-new-york-ny-building-photo.jpg) ![Building Photo - 342 W 56th St](https://images1.apartments.com/i2/0UVansAgy6qA8cg0cRN6qjre6F6NJaKcQHlT59lMb68/118/342-w-56th-st-unit-2-new-york-ny-building-photo.jpg) ![Building Photo - 342 W 56th St](https://images1.apartments.com/i2/O9b3TXHlEWzTNJs4jUdX7YxobINZlvnMm60x5SnUXck/118/342-w-56th-st-unit-2-new-york-ny-building-photo.jpg) ![Building Photo - 342 W 56th St](https://images1.apartments.com/i2/kLx8xZMzDfLX8pQPyDyR9mxyH2e0Bqm9chwHGSW-tC8/118/342-w-56th-st-unit-2-new-york-ny-building-photo.jpg) ![Building Photo - 342 W 56th St](https://images1.apartments.com/i2/aZmwfVVUsaGwVCBKOab0rRFHhzywOGK8YlzGFL-GMUw/118/342-w-56th-st-unit-2-new-york-ny-building-photo.jpg) 	0	0
[422 East 81st Street #5A](https://streeteasy.com/building/422-east-81-street-manhattan/5a)	88.4	31	76	"$2,100 "	97	452	75	?	5	* Heat and hot water included. 	5		5	* granite counter tops and adjustable island for additional space	5		5	1.5 mi	0	"CALL OUR SUPER, MARY, TO VIEW TODAY! (212)988-2583"	0	"422 E 81st St #5A, New York, NY 10028"	0		0		0	0
[326 E 35th St Unit 51](https://www.apartments.com/326-e-35th-st-new-york-ny-unit-51/n1vee6p/)	88	30	77	"$2,295 "	95	450	75	?	5		5	* Laundry Facilities	5		5	12 Months	5	1.5 mi	0		0	"[326 E 35th St, New York, NY 10016](https://www.google.com/maps/dir/731+Lexington+Ave,+New+York,+NY+10022/326+E+35th+St,+New+York,+NY+10016/data=!4m2!4m1!3e2)"	0		0	![Primary Photo - 326 E 35th St](https://images1.apartments.com/i2/S2oB96RdZXVF3T7r6nSUbFPg-c5bXXM48mNG7DI8_p4/110/326-e-35th-st-unit-51-new-york-ny-primary-photo.jpg) ![Building Photo - 326 E 35th St](https://images1.apartments.com/i2/MqJDoqLpNhr7rLJbXdJYYOCzbz6zQyQjFc3SCpjaSoA/118/326-e-35th-st-unit-51-new-york-ny-building-photo.jpg) ![Building Photo - 326 E 35th St](https://images1.apartments.com/i2/_MNX9RuCs0ywDa6zqR0PgSY_sbG8xQbd4UCitzaO59U/118/326-e-35th-st-unit-51-new-york-ny-building-photo.jpg) 	0	0
